Europawahl 2024;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;Wählende;;Ungültige Stimmen;;Gültige Stimmen;;Christlich Demokratische Union Deutschlands;;BÜNDNIS 90/DIE GRÜNEN;;Sozialdemokratische Partei Deutschlands;;Alternative für Deutschland;;Christlich-Soziale Union in Bayern e.V.;;DIE LINKE;;Freie Demokratische Partei;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;FREIE WÄHLER;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Ökologisch-Demokratische Partei, Die Naturschutzpartei;;Familien-Partei Deutschlands;;Volt Deutschland;;Piratenpartei Deutschland;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;Die Heimat;;Aktion Partei für Tierschutz;;Partei für schulmedizinische Verjüngungsforschung;;Bündnis für Innovation & Gerechtigkeit;;Bündnis C - Christen für Deutschland;;Partei der Humanisten;;Menschliche Welt, für das Wohl und Glücklichsein aller;;Deutsche Kommunistische Partei;;Marxistisch-Leninistische Partei Deutschlands;;Sozialistische Gleichheitspartei, Vierte Internationale;;Aktion Bürger für Gerechtigkeit;;Basisdemokratische Partei Deutschland;;BÜNDNIS DEUTSCHLAND;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;Demokratische Allianz für Vielfalt und Aufbruch;;Klimaliste Deutschland;;Parlament aufmischen – Stimme der Letzten Generation;;Partei der Vernunft;;Partei des Fortschritts;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;Übrige;;
08211;Baden-Baden, Stadtkreis;08;38026;38487;23802;23731;290;328;23512;23403;7927;7488;3482;6027;2760;2884;3149;2235;;;385;611;1987;1775;320;346;665;570;252;270;117;112;63;92;441;154;96;108;47;97;11;17;92;51;7;35;10;19;43;47;41;38;23;24;8;5;8;2;1;1;12;;72;;125;;1077;;50;;20;;46;;12;;127;;36;;;395;
08212;Karlsruhe, Stadtkreis;08;206952;209516;138628;135402;760;1346;137868;134056;28598;28275;32143;42429;17105;18182;13949;10787;;;4778;6760;9520;8352;3881;5445;1904;1560;1660;1694;1039;1111;306;362;10338;2982;910;1305;566;904;52;99;454;262;61;124;89;171;435;510;683;484;152;98;51;33;100;128;17;18;47;;261;;476;;5768;;428;;264;;669;;86;;872;;206;;;1981;
08215;Karlsruhe;08;328050;323238;223104;209814;2893;4275;220211;205539;73206;67206;26827;42287;26459;28548;34764;23146;;;3122;5241;14183;12965;3797;4197;8493;6988;2946;3103;1061;1232;1026;1104;5048;1207;959;1219;373;443;157;265;1141;562;93;304;121;291;923;867;444;368;375;195;28;40;48;66;24;27;119;;429;;900;;10021;;857;;194;;388;;185;;1184;;316;;;3668;
08216;Rastatt;08;168084;167254;108254;103779;1934;2644;106320;101135;36690;33912;11335;20869;12938;13855;18168;11743;;;1361;2455;6272;5779;1514;1625;4902;4104;1335;1448;456;526;513;555;1765;551;430;528;188;214;100;137;525;322;50;148;56;140;177;145;162;113;154;94;17;21;21;32;17;7;86;;338;;390;;5035;;303;;74;;168;;88;;554;;138;;;1812;
08221;Heidelberg, Stadtkreis;08;101923;100384;71743;70400;270;535;71473;69865;13377;13007;19136;25322;9611;10378;4951;4303;;;2941;3789;4777;4298;1731;2305;716;555;799;573;524;613;140;129;6777;2027;323;401;468;644;21;35;184;93;34;42;44;57;146;123;326;249;75;43;22;30;42;44;5;5;21;;160;;214;;2756;;141;;161;;411;;36;;286;;117;;;800;
08222;Mannheim, Stadtkreis;08;199630;199916;120778;116585;928;1484;119850;115101;27000;24961;20091;30064;19800;20939;16930;12287;;;3882;5353;7406;7261;2736;3869;2107;1596;1621;1656;514;578;372;421;4890;1204;539;752;755;542;63;216;481;335;56;123;194;478;208;172;365;237;147;81;47;68;71;76;14;14;52;;210;;449;;6194;;1061;;298;;379;;57;;658;;203;;;1818;
08225;Neckar-Odenwald-Kreis;08;109677;108354;72517;68991;1063;1675;71454;67316;27307;25669;5395;10523;8612;9902;13863;7940;;;785;1602;3140;3726;859;891;3272;2652;743;807;393;511;354;458;812;278;226;320;82;86;59;176;339;173;26;114;31;52;233;166;86;63;111;66;16;15;14;20;3;5;52;;102;;327;;3539;;138;;32;;79;;48;;299;;77;;;1101;
08226;Rhein-Neckar-Kreis;08;404271;399897;272630;263457;3780;5367;268850;258090;82259;74431;36361;58990;38278;40809;39751;27721;;;4665;7952;17304;16599;4594;5334;10020;8592;3435;3631;1236;1424;1166;1317;7111;1705;1175;1515;612;605;183;578;1281;737;123;291;211;345;743;678;565;394;372;228;57;71;61;48;31;28;159;;578;;1077;;11920;;983;;211;;523;;186;;1259;;360;;;4067;
08231;Pforzheim, Stadtkreis;08;74328;75907;41076;40419;367;793;40709;39626;11231;10662;3694;6984;4317;5517;9459;6995;;;894;1433;3078;3013;700;785;777;874;606;797;185;256;191;237;922;266;194;259;145;124;31;58;232;122;19;62;63;58;182;154;88;71;78;42;8;6;20;24;5;5;37;;73;;203;;2472;;345;;40;;78;;31;;260;;51;;;822;
08235;Calw;08;114653;112394;75610;71274;1034;1213;74576;70061;26374;24496;6841;12379;7197;8212;14791;9387;;;883;1711;4727;5086;932;1001;2875;2187;911;980;535;585;457;461;829;308;297;344;102;157;59;132;361;178;29;116;35;90;1059;655;119;67;119;57;9;23;18;28;10;6;61;;217;;349;;3388;;319;;45;;89;;67;;375;;97;;;1415;
08236;Enzkreis;08;145128;143293;98460;94043;1279;1604;97181;92439;30661;27583;10029;18353;11423;12789;17878;11985;;;1066;2035;7539;7260;1521;1543;3723;2919;1561;1983;542;690;558;513;1626;508;346;483;130;185;114;185;575;327;43;148;83;84;840;760;161;96;155;79;12;13;25;21;12;12;63;;213;;476;;4465;;303;;56;;153;;81;;611;;137;;;1885;
08237;Freudenstadt;08;87941;86400;56989;53081;696;1045;56293;52036;21369;18717;4492;8900;5516;5904;10668;6600;;;593;1205;3717;4775;749;647;1882;1327;649;709;329;452;312;327;748;197;187;288;73;93;86;103;265;137;23;92;34;48;702;391;72;53;90;52;3;8;14;14;8;5;56;;127;;302;;2600;;137;;39;;83;;42;;259;;67;;;992;
08311;Freiburg im Breisgau, Stadtkreis;08;162626;157789;115975;106346;678;946;115297;105400;17740;17119;34889;40624;14688;14631;6786;5586;;;7144;6992;6317;4570;3212;3971;2054;1334;1460;1391;1035;1515;272;252;8611;1450;531;628;860;2279;39;86;335;195;31;85;63;55;290;225;367;267;144;104;53;39;43;66;2;16;38;;325;;287;;4752;;240;;359;;1478;;51;;577;;224;;;1920;
08315;Breisgau-Hochschwarzwald;08;198329;193103;138836;130008;2177;2824;136659;127184;44284;39442;22995;34990;17264;17102;14240;9638;;;2616;3558;9422;7701;2335;2136;5212;3210;1934;1985;1050;1192;686;676;3081;659;574;602;242;608;84;131;672;338;47;144;79;66;507;378;217;131;228;117;25;24;27;36;13;12;99;;435;;505;;5977;;219;;148;;466;;99;;679;;198;;;2308;
08316;Emmendingen;08;126937;123701;87403;81001;1113;1839;86290;79162;27914;23443;12959;20137;12266;11928;9999;6466;;;1595;2209;5111;4668;1586;1453;3710;2319;1219;1291;992;1377;418;382;1631;340;373;566;166;260;73;74;403;239;29;105;52;39;214;165;133;103;136;97;15;12;15;15;4;6;70;;234;;334;;3495;;123;;81;;271;;66;;483;;120;;;1468;
08317;Ortenaukreis;08;322730;317094;208899;192979;3227;4389;205672;188590;72346;64859;23029;42851;23202;24592;31442;18858;;;3061;4346;13486;10226;2925;2785;10311;7411;2642;2594;1088;1293;1121;1056;2842;861;820;968;338;350;198;234;992;586;76;288;106;111;525;444;298;213;350;174;40;30;30;24;24;16;148;;720;;743;;10341;;349;;146;;354;;164;;1128;;287;;;3420;
08325;Rottweil;08;103753;102914;67665;63538;1000;1374;66665;62164;25099;23180;5204;10693;6154;6914;12743;7203;;;701;1260;4524;4739;755;812;2464;1948;768;773;849;1663;412;432;1187;250;259;279;83;125;82;106;305;173;26;96;45;48;342;182;115;66;114;60;8;7;9;7;8;3;57;;211;;366;;3073;;130;;39;;66;;56;;324;;87;;;1145;
08326;Schwarzwald-Baar-Kreis;08;149141;149042;93260;87251;1356;1829;91904;85422;32717;31216;9525;17958;9091;9878;16183;8413;;;1159;1963;6402;6123;1129;1209;3749;2770;1062;1011;453;598;461;452;1584;399;360;447;106;161;92;249;401;195;28;108;53;80;448;290;163;120;166;78;18;16;34;32;4;11;61;;360;;425;;4624;;220;;57;;142;;64;;427;;136;;;1645;
08327;Tuttlingen;08;97571;95213;61666;57744;1072;1459;60594;56285;23017;21370;4612;10297;4654;5827;12431;6124;;;726;1247;4484;4532;761;830;2090;1703;655;782;310;425;323;341;761;250;239;303;85;107;52;138;245;166;27;93;49;120;240;219;136;58;104;48;14;8;10;12;6;6;66;;188;;296;;3040;;417;;43;;74;;49;;326;;64;;;1279;
08335;Konstanz;08;209108;205147;135368;129936;1602;2207;133766;127729;39903;37503;22451;36213;14702;15082;17749;10243;;;2935;4362;10323;8550;2816;2865;4672;3729;1680;1574;861;1060;489;568;4097;1006;582;714;273;479;65;141;509;290;47;129;61;89;408;340;291;203;202;119;31;26;32;20;14;13;70;;332;;458;;5925;;234;;122;;371;;115;;766;;180;;;2411;
08336;Lörrach;08;163048;161560;101514;97521;1421;1840;100093;95681;29176;26540;14282;24392;13800;14931;13470;8632;;;1736;3045;7116;6051;1632;1598;4384;3381;1267;1274;481;625;434;477;2527;496;665;682;226;300;89;138;464;295;33;111;60;73;567;414;167;130;135;113;23;13;34;63;10;9;67;;275;;370;;5062;;238;;87;;306;;68;;667;;175;;;1898;
08337;Waldshut;08;120495;119122;77181;73466;1082;1431;76099;72035;27691;25704;8602;16563;7870;8863;11454;6486;;;982;1746;5147;4228;1011;929;3855;2776;805;858;404;538;377;374;1489;321;322;356;123;155;59;95;340;177;27;106;43;74;239;223;113;65;120;80;12;21;22;14;7;5;50;;251;;276;;3457;;190;;50;;117;;68;;426;;100;;;1278;
08415;Reutlingen;08;203393;200184;133214;124190;1362;1742;131852;122448;42432;37282;16624;27491;13524;15557;20669;13140;;;2388;3697;11798;12041;2138;1929;4622;3072;1323;1308;807;949;547;619;2686;589;626;706;303;294;102;164;492;292;41;130;72;166;808;617;271;209;167;103;20;33;65;58;15;7;67;;273;;648;;6560;;459;;90;;222;;100;;737;;156;;;1995;
08416;Tübingen;08;167194;161993;120029;113120;981;1230;119048;111890;31097;27294;26718;35359;13900;15040;11829;8199;;;4302;5937;7471;6603;2695;2929;2865;1836;1345;1252;1039;1289;405;404;4476;1048;581;750;553;761;68;109;387;193;57;96;55;116;490;519;394;271;136;73;33;56;66;71;14;12;46;;245;;472;;5044;;416;;462;;558;;84;;611;;134;;;1673;
08417;Zollernalbkreis;08;139570;138389;88113;82245;1363;1733;86750;80512;32054;28629;6835;14378;7673;9262;18011;10153;;;1007;2017;5880;6408;1145;1190;3121;2519;1075;1074;500;537;505;550;904;334;355;428;121;105;76;153;397;237;38;135;58;109;314;273;125;117;122;86;12;14;64;104;7;9;52;;197;;436;;4530;;335;;46;;111;;91;;451;;102;;;1691;
08421;Ulm, Stadtkreis;08;84155;83482;52910;53462;271;513;52639;52949;13602;13361;10769;16260;7707;7491;5177;3798;;;1302;1879;3435;3259;1051;1561;1119;1034;728;614;375;646;144;191;2203;434;578;610;165;260;23;56;173;98;26;66;42;79;109;113;180;147;64;51;16;23;32;60;9;5;17;;96;;250;;2060;;249;;272;;177;;47;;350;;92;;;853;
08425;Alb-Donau-Kreis;08;144356;140125;100499;93883;1241;1720;99258;92163;39779;36102;9912;18797;9169;10051;15864;9144;;;1012;1772;5350;5426;1234;1254;4312;3101;1160;1022;709;935;571;627;1224;343;505;517;120;164;84;207;392;198;35;127;74;103;492;383;174;129;146;84;14;9;29;38;3;11;80;;250;;796;;4456;;332;;86;;160;;67;;537;;130;;;1619;
08426;Biberach;08;151348;146207;102786;94008;1221;1817;101565;92191;41360;37237;9870;18930;7668;8218;16879;8583;;;1001;1761;5916;5442;1336;1234;4055;2985;1111;989;1570;2056;675;652;1618;392;452;574;121;150;100;167;383;217;47;135;61;72;344;273;180;101;149;110;11;10;16;14;13;5;96;;309;;481;;4433;;243;;57;;142;;74;;635;;159;;;1884;
08435;Bodenseekreis;08;161255;158275;108563;105627;1138;1538;107425;104089;37223;34247;15138;26805;10858;11613;14443;8966;;;1646;2735;8295;7115;1749;1696;4645;3444;1033;1132;899;1397;443;475;2011;730;496;504;196;284;55;113;414;229;28;114;46;84;300;249;193;128;193;127;18;17;24;33;10;6;69;;397;;469;;4760;;242;;86;;240;;96;;554;;156;;;1846;
08436;Ravensburg;08;214384;208837;142584;133795;1619;1981;140965;131814;51382;46741;18737;33803;11964;12389;19375;9979;;;2073;3360;8828;7429;2242;2143;6571;4907;1508;1451;2441;3570;748;757;2691;741;594;635;239;296;109;150;506;253;35;134;78;138;452;352;224;153;343;248;25;18;31;41;10;9;112;;588;;590;;6438;;491;;114;;287;;117;;818;;204;;;2117;
08437;Sigmaringen;08;99235;96823;64384;61177;876;1304;63508;59873;26471;24500;5399;12283;4970;5287;11253;6120;;;799;1190;3538;3654;777;725;2835;2122;675;757;368;468;368;367;664;217;277;297;78;98;67;114;273;166;24;75;27;70;161;123;107;85;120;65;10;12;20;10;7;11;49;;213;;315;;2960;;167;;29;;95;;44;;289;;59;;;1057;
08;Baden-Württemberg;99;7838137;7747281;5203587;4957423;61669;85142;5141918;4872281;1644519;1499962;709457;1135696;596515;649094;757459;487436;;;98161;151619;349741;331512;86864;96839;196553;154872;59253;60863;38287;51372;22328;23837;128083;32362;24579;31246;12076;16979;3844;7589;21177;11904;1977;5960;4041;8353;20287;16701;10483;7424;7299;4274;1095;1185;1984;2348;508;495;3130;;13854;;21371;;230701;;20291;;5643;;12307;;3704;;27351;;6996;;;82359;
;
09161;Ingolstadt, kreisfreie Stadt;09;90536;91126;51442;48289;157;173;51285;48116;;;5912;9086;4766;4212;6925;5198;19555;18180;822;1369;2446;2170;938;1181;2435;1959;452;480;1253;1763;148;146;1215;320;242;375;134;152;31;57;129;62;21;67;32;84;77;67;148;142;63;39;7;5;9;9;10;4;28;;166;;199;;2304;;273;;21;;104;;31;;294;;95;;;989;
09162;München, Landeshauptstadt;09;946989;928090;637491;607234;924;952;636567;606282;;;150919;189175;76279;69403;42410;36282;172295;163350;14340;19207;44014;32118;14772;16135;15549;14721;6470;6357;12994;21945;1204;1109;37162;13134;2857;3763;3137;4320;184;368;1392;762;247;485;480;948;585;458;2274;1361;625;392;189;230;134;171;81;52;221;;1623;;2017;;21990;;2330;;471;;2597;;294;;3250;;1181;;;10036;
09163;Rosenheim, kreisfreie Stadt;09;41693;41410;25691;23722;101;65;25590;23657;;;3931;5184;2571;2227;3012;2241;8950;8480;465;575;1033;882;513;570;1317;930;292;294;579;813;79;93;632;175;103;142;57;81;15;17;89;41;10;29;12;31;34;31;66;53;46;15;6;10;4;2;3;1;14;;157;;104;;1069;;89;;24;;64;;18;;161;;71;;;740;
09171;Altötting;09;83603;82914;50783;46301;185;114;50598;46187;;;3895;6449;3683;3589;7866;4051;21887;22900;522;859;1500;1151;780;848;4314;2284;470;542;1130;1323;197;174;592;165;174;180;64;78;39;67;132;85;12;44;13;21;42;36;74;32;63;34;4;4;5;6;8;4;30;;310;;172;;2194;;43;;18;;73;;39;;188;;65;;;1261;
09172;Berchtesgadener Land;09;76170;75243;45839;43460;127;152;45712;43308;;;4303;7178;3172;3179;6225;3802;18956;20329;537;848;1428;1104;615;617;4958;2326;427;526;936;1180;156;138;547;152;146;143;54;114;24;63;112;79;12;54;18;8;104;89;86;49;62;34;11;12;4;3;2;5;33;;208;;160;;1969;;25;;28;;93;;26;;202;;73;;;1276;
09173;Bad Tölz-Wolfratshausen;09;95021;93112;62863;58996;226;169;62637;58827;;;7820;11572;4441;4172;6991;4547;25740;25114;686;1208;2744;2101;940;859;5568;3353;576;636;1336;2072;201;213;1176;383;204;245;67;168;52;38;145;103;13;56;19;22;63;48;116;92;76;47;6;6;1;5;4;38;43;;218;;198;;2439;;81;;47;;137;;37;;337;;115;;;1729;
09174;Dachau;09;108937;105723;73959;68828;243;166;73716;68662;;;8645;12866;5765;5416;8131;5770;30465;27854;670;1143;2803;2467;1099;1196;5531;4299;886;869;1859;3078;267;300;2528;465;266;364;127;221;47;66;186;106;26;91;39;39;62;66;181;104;65;49;6;9;8;23;5;2;61;;296;;299;;2464;;142;;34;;116;;50;;467;;120;;;1799;
09175;Ebersberg;09;103246;100417;74727;68997;204;154;74523;68843;;;11200;15695;6481;5907;6946;4798;29605;26850;890;1289;3761;2839;1276;1282;4504;3281;902;788;1599;2462;260;245;2112;606;265;381;130;231;50;43;210;122;36;65;36;24;76;66;209;92;66;57;6;13;12;4;9;4;41;;276;;273;;2356;;96;;43;;163;;46;;464;;124;;;1699;
09176;Eichstätt;09;100884;98064;69893;62387;196;167;69697;62220;;;5160;7698;4907;4817;9462;6022;32325;30148;673;1008;2060;1659;821;995;6174;4075;588;614;1505;2487;232;200;1240;242;189;237;78;124;53;78;158;91;18;76;27;46;79;60;131;68;75;31;14;10;4;7;5;2;33;;229;;250;;2510;;120;;28;;95;;47;;320;;87;;;1425;
09177;Erding;09;103285;99996;70036;63272;154;181;69882;63091;;;6981;11160;4663;4116;8623;5797;29331;26174;683;1207;2497;2017;983;1126;6753;4589;753;760;1788;2678;255;256;1462;352;256;331;102;153;66;60;232;136;24;84;41;34;69;63;175;100;98;36;13;9;10;10;3;7;60;;283;;269;;2520;;102;;28;;117;;43;;459;;140;;;1836;
09178;Freising;09;124317;121726;84486;77503;247;193;84239;77310;;;11608;16738;6328;5738;9272;6414;31354;28108;1221;1748;3287;2737;1675;1887;7335;5650;981;925;2002;3002;293;271;2367;663;364;516;208;292;60;94;258;143;24;92;49;143;70;64;333;213;80;49;19;17;7;15;9;15;102;;476;;332;;2820;;317;;48;;228;;57;;506;;149;;;1776;
09179;Fürstenfeldbruck;09;155652;155179;108562;104528;341;239;108221;104289;;;15714;23606;10755;9798;9873;7694;42173;39135;1205;2102;4928;4130;1824;1990;5910;5550;1195;1261;2480;3603;352;361;3921;831;532;673;223;336;70;105;331;166;50;97;57;102;111;135;326;204;117;80;8;18;7;14;8;5;85;;392;;372;;3681;;184;;85;;251;;68;;706;;227;;;2293;
09180;Garmisch-Partenkirchen;09;66170;65722;43072;41459;126;152;42946;41307;;;4629;6785;2667;2514;4626;3532;17911;19278;412;658;1693;1418;557;434;5415;2498;379;424;1151;1837;113;127;688;196;83;114;56;111;38;47;116;78;10;37;8;12;38;35;65;44;59;22;4;8;5;2;2;1;14;;157;;142;;1497;;31;;27;;105;;22;;151;;75;;;1095;
09181;Landsberg am Lech;09;94002;90787;66548;60365;222;139;66326;60226;;;10081;14416;4896;4363;7144;4381;24997;23196;831;1269;2743;2118;1643;1170;4321;2650;802;720;1739;2697;242;220;1623;432;272;323;81;225;42;60;189;108;28;63;27;18;97;79;162;101;96;54;7;7;10;2;6;9;60;;459;;229;;2683;;41;;37;;161;;40;;427;;110;;;1545;
09182;Miesbach;09;74902;73516;50564;47866;183;123;50381;47743;;;6052;8519;3368;3435;5316;3538;21712;21486;431;751;2502;1907;625;651;4426;2790;476;556;925;1507;146;138;984;315;139;192;60;158;37;52;135;70;15;43;16;13;30;41;81;52;70;51;5;7;3;3;1;5;42;;229;;148;;1871;;58;;27;;100;;36;;259;;56;;;1463;
09183;Mühldorf a.Inn;09;88206;85802;53592;48883;165;136;53427;48747;;;3979;6372;2964;2846;8258;5008;23643;23591;463;846;1642;1298;683;866;5128;2871;553;563;1202;1818;232;187;708;196;190;203;66;107;52;59;173;94;17;61;24;37;68;60;99;69;72;33;4;11;8;5;2;1;42;;306;;193;;2103;;100;;14;;76;;36;;240;;87;;;1545;
09184;München;09;241727;238218;175026;168469;448;326;174578;168143;;;29164;39977;17661;16817;14301;11249;67047;63227;1927;3015;11665;8666;2863;3011;6905;6397;1923;1994;3643;5591;436;483;5614;1824;718;946;417;599;63;86;480;278;59;148;94;154;140;124;557;331;158;99;32;27;15;22;12;9;96;;580;;624;;5239;;338;;101;;380;;90;;970;;266;;;3069;
09185;Neuburg-Schrobenhausen;09;74297;72036;46745;39960;141;85;46604;39875;;;3389;4974;2641;2427;6926;3669;21302;19694;399;639;1327;962;615;629;4828;3787;413;366;734;1000;175;120;714;129;149;183;60;56;41;63;107;52;14;45;23;27;48;27;89;63;48;34;5;6;3;4;2;3;35;;224;;146;;1648;;86;;16;;71;;26;;233;;67;;;916;
09186;Pfaffenhofen a.d.Ilm;09;97698;93530;63948;55817;148;139;63800;55678;;;5407;8225;4413;4107;9348;5752;27403;24951;639;947;2276;1790;893;898;5712;3382;549;602;1603;2154;224;203;1136;283;221;330;70;122;37;73;144;85;24;73;12;38;67;41;136;79;47;43;9;5;11;12;4;4;47;;230;;243;;2195;;126;;20;;78;;56;;322;;98;;;1479;
09187;Rosenheim;09;200818;195791;135269;123504;446;281;134823;123223;;;15466;22753;9874;8768;17316;10275;54175;53763;1479;2020;5369;4078;1987;1715;11618;6261;1373;1428;2900;4917;447;402;2215;638;407;528;197;355;97;123;402;211;52;126;44;47;167;137;309;145;184;107;31;26;15;19;9;3;108;;1132;;448;;5340;;137;;84;;340;;102;;779;;220;;;4378;
09188;Starnberg;09;99384;97203;73311;69908;204;120;73107;69788;;;13135;18054;6452;6009;5694;4495;27489;25959;845;1226;5533;4038;1264;1056;3377;2685;722;759;1543;2254;165;132;2375;738;287;338;139;262;35;51;157;114;18;56;20;17;48;42;169;87;70;37;6;7;8;11;10;5;43;;287;;233;;2229;;56;;36;;220;;37;;317;;88;;;1356;
09189;Traunstein;09;137713;134120;87755;79687;255;210;87500;79477;;;9333;14772;6812;6081;10875;6002;36044;35971;927;1558;2647;2035;1221;1163;8648;3988;874;943;1947;2629;289;232;1090;326;253;272;99;190;65;91;235;128;27;80;32;18;145;135;125;85;121;61;12;9;12;7;2;4;75;;547;;287;;3832;;45;;52;;223;;55;;425;;124;;;2697;
09190;Weilheim-Schongau;09;105856;102661;72395;65600;254;186;72141;65414;;;8410;11958;5657;5273;8023;4847;28036;26812;825;1378;2706;1992;1271;1046;6738;3868;745;737;2448;3949;325;297;1377;377;257;275;116;187;59;103;226;116;23;65;26;39;87;67;125;82;108;46;11;14;11;9;5;12;64;;418;;251;;2942;;71;;33;;153;;57;;416;;121;;;1865;
09261;Landshut, kreisfreie Stadt;09;49571;49256;30194;28802;85;73;30109;28729;;;4172;5668;2670;2158;3485;2552;11267;11819;505;733;1323;1139;594;606;1664;1224;357;394;811;973;80;86;696;174;124;166;90;113;22;38;98;45;15;34;15;32;28;30;86;39;36;38;7;13;6;11;5;5;20;;125;;108;;1285;;91;;14;;72;;29;;139;;70;;;639;
09262;Passau, kreisfreie Stadt;09;37516;38257;21987;22466;74;55;21913;22411;;;2810;4524;1868;1932;2561;1824;8364;9307;398;614;849;806;364;494;826;402;237;255;976;997;38;58;784;396;107;106;47;79;5;19;65;26;12;19;9;6;21;26;60;38;31;15;3;2;3;;3;4;12;;49;;98;;1060;;15;;12;;71;;17;;99;;39;;;462;
09263;Straubing, kreisfreie Stadt;09;33940;34121;18142;17101;81;68;18061;17033;;;1291;1981;1305;1132;3033;1993;7965;8669;232;410;508;408;276;276;950;619;168;201;549;631;58;56;285;62;65;81;31;34;31;39;47;28;9;22;5;8;15;10;31;12;21;10;1;1;5;7;5;2;9;;41;;56;;918;;9;;9;;41;;10;;54;;28;;;341;
09271;Deggendorf;09;92904;91964;54248;47103;136;109;54112;46994;;;2948;4657;3156;2907;9776;5359;24897;25300;390;735;1318;1062;568;547;5440;2522;400;481;965;1212;144;145;428;128;157;188;45;77;43;72;138;78;18;53;7;26;39;22;74;38;38;18;11;7;5;3;4;4;34;;137;;136;;2353;;63;;14;;54;;28;;183;;101;;;1353;
09272;Freyung-Grafenau;09;64481;63757;36769;31715;63;76;36706;31639;;;1526;2446;1888;1842;7247;3627;17562;18113;230;448;698;571;283;245;3757;1660;240;282;679;889;91;65;275;68;79;89;26;57;29;47;94;55;9;40;2;2;18;9;42;40;33;10;3;6;3;2;2;1;21;;77;;99;;1515;;2;;5;;49;;24;;68;;30;;;1025;
09273;Kelheim;09;90846;88551;58268;53127;176;136;58092;52991;;;3828;5521;3466;3150;9168;4731;27182;29891;503;814;1417;1028;639;658;5395;2382;472;570;1377;1863;150;126;756;155;170;216;57;115;48;96;148;89;21;47;32;42;62;35;83;51;50;26;6;7;4;10;2;4;49;;165;;200;;2101;;110;;11;;61;;27;;253;;79;;;1364;
09274;Landshut;09;120776;118913;81290;73247;176;176;81114;73071;;;5902;8644;4605;3965;12253;7140;35123;37043;741;1086;2137;1882;962;872;10209;5926;760;864;1842;2337;265;239;917;263;215;300;82;131;69;82;257;125;34;87;21;27;78;75;135;80;99;47;14;9;6;6;6;3;54;;329;;269;;2948;;128;;24;;113;;60;;338;;119;;;1838;
09275;Passau;09;153871;150646;90689;79632;207;185;90482;79447;;;4507;7714;5465;5523;16195;8401;41433;43161;643;1285;2111;1777;780;805;8870;3573;699;896;2277;2673;277;284;754;245;237;261;65;118;78;118;238;154;23;93;25;17;81;69;126;71;70;51;3;5;5;4;7;1;69;;219;;264;;4363;;29;;18;;91;;57;;303;;100;;;2148;
09276;Regen;09;62158;62104;33502;29571;113;74;33389;29497;;;1445;2303;1798;1955;6757;3936;15639;16146;223;460;689;576;359;362;3365;1286;252;286;568;819;96;73;196;62;92;114;24;35;24;34;72;66;11;35;4;2;26;25;31;33;27;15;2;2;2;2;0;2;24;;59;;108;;1309;;1;;4;;43;;19;;80;;40;;;868;
09277;Rottal-Inn;09;93717;92148;56765;50147;159;141;56606;50006;;;3209;5141;2985;2752;8884;4664;26251;27909;441;755;1313;1096;559;547;6576;2547;460;550;1339;1732;158;139;549;188;189;163;47;86;38;45;137;97;9;46;16;6;22;22;80;48;62;46;7;6;6;6;2;2;43;;171;;183;;2464;;42;;10;;73;;22;;195;;64;;;1413;
09278;Straubing-Bogen;09;79617;77829;51714;45784;132;106;51582;45678;;;2332;3601;2302;2028;8597;4828;24685;26820;365;559;1015;810;468;454;6251;2703;342;391;1563;1710;176;126;407;111;108;155;30;54;59;108;144;56;14;57;15;6;25;16;62;49;47;17;10;9;2;3;2;4;37;;97;;161;;1940;;7;;17;;57;;20;;173;;52;;;1003;
09279;Dingolfing-Landau;09;72759;71333;43564;38793;119;107;43445;38686;;;2092;3181;2375;2330;8164;4382;19700;21311;287;556;969;910;478;433;4684;2068;316;403;1007;1427;143;120;341;123;121;182;25;38;30;61;114;67;13;42;7;14;25;30;54;28;43;23;0;1;5;3;4;4;36;;113;;148;;1834;;34;;15;;42;;22;;141;;63;;;949;
09361;Amberg, kreisfreie Stadt;09;32365;32373;18119;16912;49;68;18070;16844;;;1647;2690;1770;2098;2863;1842;7343;6682;247;486;704;483;241;322;877;690;161;204;361;541;67;59;321;59;105;136;17;40;11;23;58;30;5;27;4;6;16;19;38;28;25;9;3;2;3;2;2;;11;;72;;67;;831;;28;;8;;29;;11;;89;;35;;;366;
09362;Regensburg, kreisfreie Stadt;09;108557;106300;71976;64366;182;120;71794;64246;;;13893;17573;6976;5589;7008;4576;21633;20570;2014;2306;3096;2306;1638;2237;2836;2221;804;645;1878;2593;148;141;3941;585;384;516;298;609;22;38;163;90;22;63;36;60;86;56;302;177;67;50;41;35;15;10;11;4;28;;226;;235;;2764;;139;;60;;434;;45;;375;;176;;;1196;
